LabID,Phylum,Order,Taxon_name,Average_weightloss(%)(Exp1),Average_decomposition(%)(Exp1),Average_hyphallength(m/g soil)(Exp1),Litter_type(Exp1),Glucose_use(Exp2),Cellobiose_use(Exp2),Xylan_use(Exp2),Cellulose_use(Exp2),Litter_use(Exp2),CCUA(Exp2),Alkaline_phosphatase(Exp3),Acid_phosphatase(Exp3),Esterase(Exp3),Lipase(Exp3),Leucine_arylamidase(Exp3),Valine_arylamidase(Exp3),Trypsin(Exp3),a_chymotrypsin(Exp3),Phosphohydrolase(Exp3),a_galactosidase(Exp3),b_galactosidase(Exp3),b_glucoronidase(Exp3),a_glucosidase(Exp3),b_glucosidase(Exp3),b_glucosaminidase(Exp3),a_mannosidase(Exp3),"NewAggregateFormation(Lehmann,2020)","DominanceIndex/Competitiveness(Lehmann,2020)","Colony_extension_rate(Lehmann,2020)","Palatability(Lehmann,2020)","Biomass_density(Zheng,2020)","Hydrophobicity(Zheng,2020)","Laccase(Zheng,2020)","Leucine_aminopeptidase(Zheng,2020)","Cellobiohydrolase(Zheng,2020)","Acid_phosphatase(Zheng,2020)"
RLCS23,Ascomycota,Hypocreales,Stachybotryaceae_strain_1,75.94,40.48,7.995,leaf,1,0.660130719,0.245915033,0,0.01879085,1.637521222,33.33333333,40,11.66666667,0,33.33333333,3.333333333,0,0,33.33333333,8.333333333,0,0,0,20,13.33333333,5,7.7,72,42.57417,10.048512,0.0800258,53.333333,1.6886273,0.62780097,0.120422438,0.417764765
RLCS24,Ascomycota,Hypocreales,Metarhizium_marquandii,59.34,23.88,6.295,leaf,1,0.406684764,0.126569393,-0.005768578,-0.012385477,1.516778523,33.33333333,40,15,6.666666667,25,3.333333333,0,0,40,28.33333333,33.33333333,3.333333333,23.33333333,40,40,23.33333333,6.709091,38,37.55675,28.055952,0.07375664,54.166667,0.14577689,0.67303589,0.063025896,1.129074194
RLCS25,Ascomycota,Hypocreales,Hydropisphaera_sp.,77.43,41.97,4.325,leaf,1,0.76953125,0.25390625,-0.005408654,0.0859375,1.804608804,13.33333333,33.33333333,5,0,40,16.66666667,0,0,13.33333333,3.333333333,8.333333333,0,0,13.33333333,16.66666667,3.333333333,8.372727,73,31.05787,16.511905,0.08774341,0,0.06207498,0.74501006,0.028004973,0.682493095
RLCS26,Ascomycota,Helotiales,Tetracladium_marchalianum,73,37.54,5.595,leaf,1,0.423076923,-0.038461538,0.038461538,-0.076923077,1.533333333,40,40,10,3.333333333,40,0,0,0,26.66666667,3.333333333,0,0,15,40,0,1.666666667,8.872727,30,29.9745,14.922917,0.11670373,0,1.46634042,0.53315371,0.038747915,0.100338963
RLCS27,Ascomycota,Sordariales,Thielavia_inaequalis,70.09,34.63,1.915,leaf,0.869674185,1,0.294068505,0.007518797,0,1.741823778,40,40,13.33333333,0,40,26.66666667,0,0,40,0,0,0,15,5,40,10,5.418182,40,26.80433,10.291667,0.10734897,39.166667,2.99159024,2.75506998,0.013512484,0.223056884
RLCS28,Ascomycota,Helotiales,Tricladium_sp.,67.09,31.63,4.475,leaf,0.751295337,1,0.269430052,0.03626943,0.025906736,1.84079602,18.33333333,36.66666667,6.666666667,0,30,1.666666667,0,0,18.33333333,0,0,0,0,18.33333333,0,15,10.309091,65,25.712,10.721825,0.12247429,23.75,0.017034,0.53582725,0.050399245,0.652915381
RLCS29,Basidiomycota,Agaricales,Macrolepiota_excoriata,49.77,14.31,6.545,leaf,0.550617284,1,0.743209876,0.518518518,0.775308642,2.991052994,33.33333333,36.66666667,8.333333333,0,30,13.33333333,3.333333333,13.33333333,36.66666667,0,0,0,0,13.33333333,26.66666667,1.666666667,5.072727,2,23.24092,35.552083,0.03619666,0,7.02297517,0.16182128,0.03427603,0.020645574
RLCS30,Ascomycota,Chaetothyriales,Exophiala_equina,34.46,-1,5.405,leaf,1,0.915248099,-0.021731257,-0.149583484,-0.149583484,1.563785372,40,40,11.66666667,0,10,0,0,0,33.33333333,3.333333333,0,0,6.666666667,30,23.33333333,3.333333333,8.054545,13,20.70225,123.679167,0.10237971,0,0.01271939,0.37015729,0.023660511,0.004429816
RLCS31,Ascomycota,Chaetothyriales,Cyphellophora_sp.,36.94,1.48,4.235,leaf,1,0.939759036,0.036144578,-0.006024096,0.084337349,1.686609687,40,28.33333333,10,5,36.66666667,13.33333333,6.666666667,0,28.33333333,0,5,0,11.66666667,23.33333333,40,0,6.318182,6,20.2015,63.302083,0.16035719,0,0.5314321,0.15457384,0.025665551,0.327096121
control,control,control,control,4.79,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,control,control,control,4.95,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,control,control,control,35.03,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,control,control,control,35.89,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
